season,week,mean_ci_width,mean_cv,n_contestants,ci_width_rank_pct
11,1,0.03155284559078348,0.09847880207998168,12,0.31343283582089554
11,2,0.035271742963396656,0.101440623837024,11,0.3970149253731343
11,3,0.03902447253577341,0.10202559730106694,10,0.46865671641791046
11,4,0.042787517149538386,0.10109686691333954,9,0.5432835820895522
11,5,0.0467134931113971,0.09862624354883054,8,0.6208955223880597
11,6,0.05100590100884591,0.09462233873869362,7,0.6895522388059702
11,7,0.0569285013044259,0.09136383721111346,6,0.7582089552238805
11,8,0.0665293373057099,0.0899422480226811,5,0.817910447761194
11,9,0.08013348550419974,0.08821490518764209,4,0.8925373134328358
11,10,0.10227686195308783,0.0817343266681179,3,0.9641791044776119
12,1,0.032045696697142086,0.09533828587475947,11,0.32238805970149254
12,2,0.03407624449271222,0.09931053924197183,11,0.3611940298507463
12,3,0.038299477735260753,0.10147160474444195,10,0.4417910447761194
12,4,0.0427325005443807,0.10105811481877149,9,0.5373134328358209
12,5,0.0469446918776239,0.09854864454917833,8,0.6268656716417911
12,6,0.05331026780316251,0.09953848693784796,7,0.7074626865671642
12,7,0.06057622595684408,0.09809388691049865,6,0.7910447761194029
12,8,0.0684838241512783,0.09512142986350071,5,0.8388059701492537
12,9,0.08616819914133,0.09407354364024327,4,0.9164179104477612
12,10,0.11124419661888467,0.09087132586896561,3,0.9880597014925373
13,1,0.0320709490842486,0.100042592506447,12,0.3253731343283582
13,2,0.03601283099206373,0.10274548476003947,11,0.417910447761194
13,3,0.04030237469658613,0.10369996782057453,10,0.5014925373134328
13,4,0.043443584917623665,0.10198737940308926,9,0.5522388059701493
13,5,0.0483374612162218,0.10046983829805403,8,0.6447761194029851
13,6,0.05359465885104274,0.09826069352362406,7,0.7134328358208956
13,7,0.05944467675179086,0.09585168012227942,6,0.7731343283582089
13,8,0.06900986213734037,0.09621262709644288,5,0.8417910447761194
13,9,0.08210387809748951,0.08970486723225116,4,0.8985074626865671
13,10,0.1091086801397963,0.08850346579773406,3,0.982089552238806
14,1,0.029658855204352918,0.09405807504157311,12,0.2537313432835821
14,2,0.031479078896710165,0.09805424694064473,12,0.3074626865671642
14,3,0.03451812038461675,0.09882446018720574,11,0.373134328358209
14,4,0.03813104144014597,0.10048836318417767,10,0.43582089552238806
14,5,0.04075369572036826,0.09650905451307829,9,0.5074626865671642
14,6,0.044979107350258715,0.09573592858817671,8,0.5940298507462687
14,7,0.049019321996816016,0.09348131648227455,7,0.6567164179104478
14,8,0.05480319862467916,0.09012299505996253,6,0.7373134328358208
14,9,0.0786432271290404,0.08457289143100875,4,0.8835820895522388
14,10,0.09844803369031413,0.07911388724876729,3,0.9522388059701492
15,1,0.029944094666128192,0.10220647030358848,13,0.2746268656716418
15,2,0.03427334367856092,0.10645731747457965,12,0.36716417910447763
15,3,0.03847789113164274,0.10987070969660304,11,0.4537313432835821
15,4,0.04701887785409662,0.11093612243567579,9,0.6298507462686567
15,5,0.051808852849936846,0.10976804090186994,8,0.6925373134328359
15,6,0.050614474496144035,0.10745280852306525,8,0.6865671641791045
15,7,0.056053899983455384,0.10952178756575925,7,0.7492537313432835
15,8,0.05434889930527015,0.10904568659745964,7,0.7283582089552239
15,9,0.0716103682327959,0.10573410975161887,5,0.8656716417910447
15,10,0.10845705694501251,0.08717223754712367,3,0.9761194029850746
16,1,0.029869854560645517,0.09551746106624114,12,0.26865671641791045
