celebrity_name,ci_width_mean,ci_width_median,ci_width_std,cv_mean,cv_median,cv_std,season,n_obs
Bill Nye,0.020634636099837667,0.0193801760792046,0.0021918227637563446,0.09395669161495346,0.0940272416966983,0.0019383401396387385,17,3
Billy Dee Williams,0.0346532838501957,0.0346532838501957,0.002678685672896829,0.09494444452525555,0.09494444452525555,0.0007328780237917534,18,2
Billy Ray Cyrus,0.04140435762051445,0.04178123943995265,0.005705610982047767,0.10360881686134422,0.10474470193960339,0.007016301474429091,4,8
Bindi Irwin,0.06599882836675836,0.0630723576366402,0.02007357839976999,0.11333283396432518,0.1162534248429641,0.007057558692932484,21,11
Bobby Bones,0.07148871011427549,0.0715397117420042,0.015617206882141266,0.11495309952504977,0.1151805723791905,0.012436084425719448,27,9
Bonner Bolton,0.03142655813800061,0.0311968699775381,0.003394096898888948,0.09305910205582368,0.09473736433880839,0.008210376732159649,24,8
Brandy,0.04784176087638063,0.0460935756156083,0.007117874722463326,0.11097896928991197,0.1147763459561587,0.007490321538690082,11,9
Brant Daugherty,0.029117804309638312,0.03071915352927355,0.004380936978544356,0.08653643382786648,0.0893041253372274,0.008668108907407292,17,8
Brian Austin Green,0.008593103795698975,0.008401105773086,0.002167536006406099,0.034521746758592424,0.0313602672906798,0.0073140783255877,30,4
Bristol Palin,0.05140626888896944,0.049679419957719545,0.026051071141248824,0.09020049908379454,0.08989996617282175,0.00755086736082114,15,14
Brooke Burke,0.07862215965554989,0.07648093266305506,0.026368138142425605,0.1008016733310964,0.10215391488418779,0.010610162334326682,7,10
Brooks Nader,0.0087926392048967,0.00920597298985565,0.0032606196410484654,0.028648177978706075,0.0293087977443103,0.012230945012189015,33,4
Buzz Aldrin,0.023522243051760938,0.0219482068634988,0.00335983367123448,0.08424759075895587,0.0838467622931755,0.0024340620463486995,10,3
Calvin Johnson Jr.,0.06266294820444979,0.0604658115601373,0.01895070931222728,0.10845355049853916,0.1098866135538399,0.008526967094586255,23,11
Cameron Mathison,0.04011458472279604,0.03881266228368005,0.004529176940692649,0.09899225802191627,0.1018224879007783,0.010162627458601666,5,8
Candace Cameron Bure,0.05113099595662916,0.05025148399898205,0.014105598500316343,0.08889065114003955,0.08992500296057351,0.003967640321913475,18,10
Carlos PenaVega,0.06889763955964524,0.0653592414586814,0.02213055569224793,0.11290142396954356,0.114761633622424,0.006234081106617607,21,11
Carole Baskin,0.0117514941990435,0.0102657930277779,0.003980175161141837,0.0532912678389744,0.0471441470224073,0.017468530144010595,29,3
Carson Kressley,0.02606074426458374,0.0259752153773271,0.004221187834521387,0.08798682606089489,0.0853373299047236,0.004830571373429426,13,5
Chad Ochocinco,0.049319069047824265,0.0479490497247506,0.008654209829200748,0.10834904977715601,0.1105390090751892,0.0068425041536437576,10,9
Chaka Khan,0.0180366709495397,0.0180366709495397,0.0019565071478886303,0.087765881687893,0.087765881687893,0.00026029643183275123,21,2
Chandler Kinney,0.013551712502494824,0.0092024553666978,0.013110702308856942,0.024350959690624178,0.0166409079179501,0.017238192137008407,33,9
Charity Lawson,0.009828345393829908,0.0046827962278445,0.011209507514212062,0.0192732632576723,0.0109351076082816,0.014415729571306777,32,11
Charles Oakley,0.011084395718895,0.011084395718895,0.0027097647040809528,0.0624721598382296,0.0624721598382296,0.008612893228086279,29,2
Charli D'Amelio,0.00717925501087861,0.00426356730588265,0.009421745649786643,0.013705615425319109,0.011086773511834049,0.007353762276025222,31,10
Charlie White,0.03947116877607371,0.0387085475363345,0.004276887047052468,0.09914424790504701,0.1014828315905916,0.006128226100371598,18,9
Charlotte McKinney,0.01852711968634223,0.0173320808317927,0.002524266299083505,0.0834852907368937,0.0838223465906425,0.001355615140374242,20,3
Charo,0.0225294314391183,0.0214664707755537,0.0033475978222009917,0.09402177174685263,0.0948131647600079,0.0020568493753479918,24,3
Chaz Bono,0.027513396824982935,0.0278721415927958,0.003227206329483586,0.09074171021161322,0.09029677316849805,0.005280440211456959,13,6
Chelsea Kane,0.07097665113350082,0.06654255771741975,0.0259280314064104,0.09751653796911627,0.0970122923563176,0.006646851830906882,12,10
Cheryl Ladd,0.010075484813965533,0.0081896503737076,0.0032982338311448828,0.04799011301785283,0.0417924075775285,0.013536790937518655,31,3
Chris Jericho,0.027195961273767767,0.02744936019914955,0.002739612150739337,0.09019041665913419,0.0911423991027571,0.004198870376628834,12,6
Chris Kattan,0.01958912230174005,0.01958912230174005,0.002505854059417354,0.08672680441317054,0.08672680441317054,7.763151333895156e-05,24,2
Chris Mazdzer,0.04616664564326403,0.0446368103784993,0.004160148960556817,0.13313388940995532,0.1300657732062664,0.014094676006003073,26,3
Chris Soules,0.03947606752779699,0.03922903104907275,0.005906685057022589,0.10464195661212204,0.1063452275778531,0.008070315458707112,20,8
Chrishell Stause,0.00729610299961305,0.0060831848527736505,0.0031356247804642597,0.02250786405570085,0.0190734853935439,0.009732967684615668,29,8
Christina Milian,0.023673300375790858,0.0236321591014816,0.0035168748920434423,0.08897930739953416,0.0871723818267465,0.005242143464959969,17,5
Christine Chiu,0.009670942771522568,0.0089969753836707,0.0031602216594816537,0.0424104672582482,0.0421313318234758,0.01410987455881228,30,3
Chuck Liddell,0.021618991125312924,0.021729578871012997,0.001985562040155714,0.09349510715762173,0.09193874760658416,0.004925258085551275,9,4
Chuck Wicks,0.03310934419815997,0.03137292484604675,0.005515557965128386,0.08990848948288481,0.09061484391690411,0.00832870414339015,8,8
Chynna Phillips,0.026099933379605852,0.025177621023244,0.0036937768175816462,0.08874405467781758,0.08748954887267471,0.003805423519299582,13,4
Cloris Leachman,0.03168777515543273,0.03027159404164865,0.0035617320507963027,0.09167808706694565,0.09002485725803094,0.006802622145197532,7,6
Clyde Drexler,0.027154639442683905,0.0264099970136643,0.0032429599256894853,0.09590808193562769,0.0932873171135247,0.005713268379413652,4,5
Cody Linley,0.046745810213446065,0.0496968855843458,0.00795738960497905,0.10285016353878114,0.1084758665724961,0.00907183512189612,7,9
Cody Rigsby,0.01095878592807708,0.00809847897977125,0.009348144927755602,0.02217891748765827,0.02126484307372855,0.006654040384663601,30,10
Cody Simpson,0.027691507120840442,0.0286948654908617,0.003586850543528131,0.10321100002664954,0.0988343020756237,0.007157754979284717,18,5
Corbin Bleu,0.06412827295212614,0.0661037551199374,0.01812675885122489,0.10913075469519903,0.1113156148909477,0.007705115107442992,17,11
Corey Feldman,0.007486089460051651,0.007486089460051651,0.0014236427948794816,0.03487233063470125,0.03487233063470125,0.003708452937199378,34,2
Cristian de la Fuente,0.07427474437189564,0.0724122773626675,0.024017979479020672,0.10929750707271117,0.10682145757603695,0.010107840904463952,6,10
D. L. Hughley,0.02451012036944116,0.0256654748280144,0.003389521166254315,0.09691476728874913,0.0968395931317779,0.0020396712925784093,16,5
Danelle Umstead,0.0175748248986055,0.0175748248986055,0.0012444045668191074,0.0847720056629369,0.0847720056629369,0.00019260738672730732,27,2
Danica McKellar,0.02949820692532266,0.029331032946544,0.0034571807666807937,0.08762034450829985,0.08758219076068186,0.0051292753619417856,18,8
Daniel Durant,0.006962598347180467,0.0056001817981655,0.0036540857837874044,0.01759707390350408,0.017697761461936,0.0048246453019151975,31,9
Danielle Fishel,0.00787109561986215,0.008088816615839649,0.00239244139177135,0.021938479555804663,0.02269043812914855,0.006553023119064378,34,8
Danny Amendola,0.013118994624940745,0.0090019997957535,0.0117354586361933,0.023398689932557566,0.0179673461375286,0.015211429823034955,33,9
David Alan Grier,0.02075547550293782,0.0213477063831976,0.002737212724270627,0.09459183326706966,0.0943732177932355,0.00470776621836525,8,5
David Arquette,0.030539228852226114,0.0299670952551874,0.002781318750789847,0.08936229584586883,0.0905095236392682,0.00565627444698797,13,7
David Hasselhoff,0.019161180265224,0.019161180265224,,0.0791441611701482,0.0791441611701482,,11,1
David Ross,0.0693072669169679,0.06513837505445119,0.024758571996613195,0.10164958784877495,0.10222485257003086,0.008867015399032214,24,10
DeMarcus Ware,0.031837597205092896,0.0325703934433398,0.0032893083471608343,0.10657032051353324,0.1062290924529105,0.0067018237955274226,27,7
Debbie Gibson,0.019841160359392852,0.019841160359392852,0.002569171897845621,0.0941266111937743,0.0941266111937743,0.000490009450676578,25,2
Debi Mazar,0.0210464461772543,0.0205799377939741,0.001971216789424466,0.0951237615265826,0.0946187157847636,0.0030252938226818203,9,3
Denise Richards,0.02269591873676807,0.0212989143415671,0.0029679711217919075,0.09534363981470863,0.0962536666916881,0.0022469330756506173,8,3
Derek Fisher,0.019900456386342174,0.019878506728365247,0.0029377382863462723,0.08828825121126517,0.0878301128083905,0.0029150252137298675,25,4
Diana Nyad,0.0207423483832363,0.0207423483832363,,0.0911055703132115,0.0911055703132115,,18,1
Donald Driver,0.06505378989837243,0.0595111699866972,0.02071623067107183,0.09400738700741083,0.09559928267211601,0.010336060418267125,14,10
Donny Osmond,0.06595538954696677,0.05964732310217215,0.02726988186769853,0.10380246161087929,0.1044606937391648,0.010282285941998268,9,10
Dorothy Hamill,0.02447480337188295,0.02447480337188295,2.1077883790957473e-05,0.07695957672681185,0.07695957672681185,0.001053126606811865,16,2
Doug Flutie,0.027262772416284466,0.02795761501628485,0.003357475316950155,0.09544144569189762,0.09625710743103315,0.005369657992346511,22,6
Drew Carey,0.027243799821338666,0.0280928669062007,0.004587121656758571,0.08945491519689158,0.08883384186303214,0.007436191366569945,18,6
Drew Lachey,0.0156688932537167,0.0121607044597502,0.012435123100253275,0.03858949093696517,0.0152739217346528,0.035735876868132024,2,11
Drew Scott,0.046855190162787955,0.0443161871630742,0.015927089421731176,0.08743829121057821,0.08651397852467624,0.004179116939503916,25,10
Dwight Howard ,0.008785372846711843,0.0084603465684554,0.005076501972796243,0.02040374685726773,0.0180863891068134,0.009969135684989914,33,7
Dylan Efron,0.007757337236878718,0.0057827947715251,0.00578574006858832,0.016692466190873934,0.0133668172825884,0.009401205530163817,34,11
Elaine Hendrix,0.008391110417042536,0.0063731558003034,0.006940289049656704,0.019686854484710855,0.0155491865099044,0.009876017751051132,34,11
Elisabetta Canalis,0.02134743585704755,0.02134743585704755,0.0017651948020456858,0.08723327004248821,0.08723327004248821,0.0009705749365664029,13,2
Elizabeth Berkley Lauren,0.034144359611137404,0.0335012633885797,0.004800582480128446,0.10456975653881723,0.1044534671640185,0.005453238613927251,17,9
Emmitt Smith,0.06713653001091709,0.0534058798053608,0.032183459663895665,0.10772486999090562,0.1128373641899688,0.012906873203790921,15,19
Eric Roberts,0.007691043008817033,0.0081768212536682,0.0011148412657705734,0.025268634292745163,0.0276605399757402,0.005526819654588115,33,3
Erika Jayne,0.02679110030078216,0.0269171459022643,0.0035814967979530734,0.09034184817532095,0.0891795971615311,0.0037730794399411798,24,5
Erin Andrews,0.07462282998545065,0.07651554220922124,0.021431788713570803,0.09534506402255223,0.0969037793724917,0.009235215144033167,10,10
Evan Lysacek,0.07834405466279123,0.07364923556733449,0.027583553122792637,0.10279630786329726,0.10250484895112694,0.006667816128085689,10,10
Evander Holyfield,0.026698956575070265,0.0262734297205959,0.0008073033947047096,0.040371606753711736,0.0388620512595193,0.004021427834817735,1,3
Evanna Lynch,0.06199356188291426,0.0603926389873914,0.013476484760631147,0.11314736299426564,0.1098668677294395,0.01016293577308515,27,9
Florence Henderson,0.02991245299366918,0.0304103881796115,0.0030782079456775344,0.10207907895227417,0.100857560087163,0.003511776895375164,11,5
Floyd Mayweather Jr. ,0.023636730486010525,0.02319899908404385,0.002843867929888077,0.09518074907466467,0.0941928559457427,0.0032137874605604544,5,4
Frankie Muniz,0.06307307946923028,0.0610467691134068,0.02227147209380443,0.11103718985413327,0.11118768319412055,0.005848358738303288,25,10
Gabby Windey,0.00854525685496203,0.00591497986331815,0.008684041473836503,0.01726640194618492,0.01597670586502485,0.006990260909947565,31,10
Gary Busey,0.025347578259565177,0.02537426995189285,0.002266662018570005,0.09409394123760932,0.093274604375315,0.001670850389700571,21,4
Gavin DeGraw,0.02369945425011946,0.0237760448971999,0.002821231204510632,0.08673680461967695,0.0847742819349487,0.0034112317772301707,14,5
George Hamilton,0.014469616013515485,0.01325460789511635,0.005873638000926616,0.026309114148922102,0.02595006680900715,0.007303673088029314,2,6
Geraldo Rivera,0.0205563516470012,0.0205563516470012,0.0029232849249038215,0.0829239406345646,0.0829239406345646,0.00020063884280791317,22,2
Gilles Marini,0.048880453694549054,0.0399154265453706,0.020189973252103862,0.09503748670736922,0.0959622134923616,0.00811909979803104,8,19
Ginger Zee,0.0617636306090506,0.05884950548351695,0.017851564492413294,0.09328921798736133,0.09445074727079185,0.009798647950296986,22,10
Giselle Fernandez,0.020549761816776833,0.0222586849705398,0.004073067185038388,0.05799991848329427,0.0593970551997936,0.00927615904892863,2,3
Gladys Knight,0.0242372021649727,0.02517481658660135,0.0030155175069938108,0.08087119949742613,0.0808910995421585,0.004352645302203759,14,6
Hannah Brown,0.010154544628932873,0.0073663803927843,0.00938343531760388,0.018725513692309147,0.0154757423350962,0.010692538073771568,28,11
Harry Hamlin,0.024965280847928466,0.023763498811788,0.0032684025122411454,0.09011246425434023,0.0892101610753205,0.0017962061254447944,3,3
Harry Jowsey,0.008046133562369821,0.0074014381916028,0.002804682212877741,0.0188265844389601,0.0175513816901751,0.0035508730122995073,32,9
Hayes Grier,0.02697585088297317,0.02733000870022,0.004582655800903297,0.0898827940600144,0.092215964139911,0.007883705761803682,21,7
Heather Mills,0.0348066043980012,0.03525860228581565,0.003601525139016422,0.10631984136030041,0.106150645534909,0.005324391460447143,4,6
Heather Morris,0.023311393207483735,0.023434933284289798,0.0022054031816748135,0.08233976877563846,0.08243334753571205,0.004673487922664651,24,6
Heidi D'Amelio,0.00568326264417545,0.0055311546130745,0.0028416571099488404,0.015966358653633002,0.01582863232261325,0.004999659921047032,31,8
Helio Castroneves,0.06004565779941594,0.0579823136608123,0.030637157558703994,0.09400233230410823,0.0890231649785855,0.00909259997939276,15,13
Hilaria Baldwin,0.009968703523886424,0.0094092110775607,0.0018042320267864886,0.03896819462193268,0.03621313053038805,0.007648448254989493,34,4
Hines Ward,0.07074735561979145,0.06812100217725205,0.023130528736138696,0.10837678425442039,0.1088615927811194,0.009841654963998357,12,10
Holly Madison,0.02249777858724895,0.02228602286536,0.0023886438174639943,0.09303379016798688,0.0937858340361812,0.002459489097022177,8,4
