name,t0,qid,awards_total,awards_dated,awards_pre_t0,award_date_coverage
Pamela Anderson,2012-11-26,Q83325,3.0,3.0,3.0,1.0
Patti LaBelle,2015-05-18,Q31013,1.0,0.0,0.0,0.0
Paula Deen,2015-11-23,Q3071037,1.0,0.0,0.0,0.0
Paulina Porizkova,2007-05-21,Q236154,1.0,1.0,0.0,1.0
Penn Jillette,2008-05-19,Q4129653,2.0,2.0,2.0,1.0
Petra Nemcova,2011-05-23,Q235496,0.0,0.0,0.0,0.0
Phaedra Parks,2024-11-26,Q23417034,0.0,0.0,0.0,0.0
Priscilla Presley,2008-05-19,Q234773,0.0,0.0,0.0,0.0
Rachel Hunter,2005-07-06,Q259993,0.0,0.0,0.0,0.0
Ralph Macchio,2011-05-23,Q73346,0.0,0.0,0.0,0.0
Randy Couture,2014-11-24,Q352733,0.0,0.0,0.0,0.0
Rashad Jennings,2017-05-22,Q3930379,0.0,0.0,0.0,0.0
Ray Lewis,2019-11-25,Q44428,1.0,0.0,0.0,0.0
Redfoo,2015-05-18,Q2938630,0.0,0.0,0.0,0.0
Reginald VelJohnson,2024-11-26,Q470153,0.0,0.0,0.0,0.0
Rick Fox,2010-11-22,Q124650690,0.0,0.0,0.0,0.0
Rick Perry,2016-11-21,Q215057,3.0,1.0,1.0,0.3333333333333333
Ricki Lake,2011-11-21,Q40128,2.0,2.0,1.0,1.0
Riker Lynch,2015-05-18,Q3935797,0.0,0.0,0.0,0.0
Rob Kardashian,2011-11-21,Q26318,0.0,0.0,0.0,0.0
Robert Herjavec,2015-05-18,Q324370,0.0,0.0,0.0,0.0
Robert Irwin,2025-11-25,Q7345814,2.0,1.0,1.0,0.5
Rocco DiSpirito,2008-11-24,Q14946761,0.0,0.0,0.0,0.0
Romeo,2011-05-23,Q1069139,0.0,0.0,0.0,0.0
Roshon Fegan,2012-05-21,Q507999,0.0,0.0,0.0,0.0
Rumer Willis,2015-05-18,Q234566,0.0,0.0,0.0,0.0
Ryan Lochte,2016-11-21,Q201517,0.0,0.0,0.0,0.0
Sabrina Bryan,2012-11-26,Q256708,0.0,0.0,0.0,0.0
Sadie Robertson,2014-11-24,Q16226085,0.0,0.0,0.0,0.0
Sailor Brinkley-Cook,2019-11-25,Q22996290,0.0,0.0,0.0,0.0
Sam Champion,2022-11-21,Q114992664,0.0,0.0,0.0,0.0
Sara Evans,2006-11-14,Q463989,0.0,0.0,0.0,0.0
Sasha Pieterse,2017-11-20,Q238712,0.0,0.0,0.0,0.0
Scott Hoying,2025-11-25,Q23009146,0.0,0.0,0.0,0.0
Sean Avery,2014-05-19,Q725726,0.0,0.0,0.0,0.0
Sean Lowe,2013-05-20,Q7441167,0.0,0.0,0.0,0.0
